"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272"
"99","Whitman Plaza - 1",39.912812,-75.156475,NULL,NULL,1,1,"0101000020E610000010E9B7AF03CA52C0BCB20B06D7F44340","0101000020E008000010E9B7AF03CA52C0BCB20B06D7F44340"
"101","Pier 70 WalMart & Home Depot",39.92531,-75.141671,NULL,NULL,1,1,"0101000020E6100000AAF23D2311C952C0B554DE8E70F64340","0101000020E0080000AAF23D2311C952C0B554DE8E70F64340"
"103","Oregon Av & Broad St",39.916922,-75.171166,NULL,NULL,1,1,"0101000020E6100000FA0B3D62F4CA52C0D07D39B35DF54340","0101000020E0080000FA0B3D62F4CA52C0D07D39B35DF54340"
"105","Oregon Av & 24th St ",39.919705,-75.188106,NULL,NULL,1,1,"0101000020E61000009C8BBFED09CC52C0DD7BB8E4B8F54340","0101000020E00800009C8BBFED09CC52C0DD7BB8E4B8F54340"
"106","22nd St & Washington Av",39.939376,-75.179751,NULL,NULL,1,1,"0101000020E6100000179B560A81CB52C0DB5207793DF84340","0101000020E0080000179B560A81CB52C0DB5207793DF84340"
"107","Arch St & 22nd St",39.95605,-75.176079,NULL,NULL,1,1,"0101000020E6100000CBA0DAE044CB52C09FABADD85FFA4340","0101000020E0080000CBA0DAE044CB52C09FABADD85FFA4340"
"108","27th St & Girard Av",39.974077,-75.180363,NULL,NULL,1,1,"0101000020E6100000249A40118BCB52C095641D8EAEFC4340","0101000020E0080000249A40118BCB52C095641D8EAEFC4340"
"111","Frankford Transportation Center - Rts 8 & R drop",40.022966,-75.078298,NULL,31033,1,1,"0101000020E6100000E7559DD502C552C0C075C58CF0024440","0101000020E0080000E7559DD502C552C0C075C58CF0024440"
"113","Fisher Av & Rising Sun Av - FS",40.030329,-75.118658,NULL,NULL,1,1,"0101000020E6100000295AB91798C752C0698F17D2E1034440","0101000020E0080000295AB91798C752C0698F17D2E1034440"
"114","Tabor Rd & 5th St",40.034731,-75.130721,NULL,NULL,1,1,"0101000020E6100000A0F99CBB5DC852C02594BE1072044440","0101000020E0080000A0F99CBB5DC852C02594BE1072044440"
"117","Tabor Rd & 5th St ",40.034723,-75.13104,NULL,NULL,1,1,"0101000020E6100000F19D98F562C852C0A2B5A2CD71044440","0101000020E0080000F19D98F562C852C0A2B5A2CD71044440"
"118","Fisher Av & Rising Sun Av",40.030195,-75.118635,NULL,NULL,1,1,"0101000020E61000004D4A41B797C752C059C0046EDD034440","0101000020E00800004D4A41B797C752C059C0046EDD034440"
"119","C St & Roosevelt Blvd",40.026943,-75.117407,NULL,NULL,1,1,"0101000020E61000009354A69883C752C096ED43DE72034440","0101000020E00800009354A69883C752C096ED43DE72034440"
"121","Wissahickon Av & Cathedral Rd - FS",40.067132,-75.23097,NULL,NULL,1,1,"0101000020E6100000DB166536C8CE52C0EE4108C897084440","0101000020E0080000DB166536C8CE52C0EE4108C897084440"
"122","Ridge Av & Summit Av",40.056965,-75.236237,NULL,NULL,1,1,"0101000020E6100000BB46CB811ECF52C021020EA14A074440","0101000020E0080000BB46CB811ECF52C021020EA14A074440"
"123","Ridge Av & Lyceum Av",40.032921,-75.214703,NULL,NULL,1,1,"0101000020E610000099D6A6B1BDCD52C0022D5DC136044440","0101000020E008000099D6A6B1BDCD52C0022D5DC136044440"
"124","Roosevelt Blvd & C St",40.026924,-75.117076,NULL,NULL,1,1,"0101000020E610000060C9552C7EC752C01FBDE13E72034440","0101000020E008000060C9552C7EC752C01FBDE13E72034440"
